iter	RMSE
202	0.5580639141
203	0.5578245926
204	0.5576305985
205	0.5574937127
206	0.5573189105
207	0.5571883322
208	0.5570949722
209	0.5569561232
210	0.5568736259
211	0.5567010701
212	0.5565335583
213	0.5564412414
214	0.5562253031
215	0.5561117815
216	0.5559618078
217	0.5558314431
218	0.5556837923
219	0.5555842311
220	0.5554891374
221	0.5553254961
222	0.5552129573
223	0.5550153391
224	0.5549069074
225	0.5548122971
226	0.5546305407
227	0.5545042651
228	0.5544521714
229	0.5542182483
230	0.5540626209
231	0.5538599991
232	0.5537361226
233	0.5535877673
234	0.5533410529
235	0.5531870234
236	0.5531161906
237	0.5529535926
238	0.5527609765
239	0.5526225947
240	0.552499546
241	0.5523590308
242	0.55225223
243	0.5520694339
244	0.5519329051
245	0.5518044732
246	0.5516748772
247	0.5515301992
248	0.5512831531
249	0.5511061181
250	0.5509823789
251	0.5509092966
252	0.5508000825
253	0.5506487032
254	0.5504587205
255	0.5503389427
256	0.5502233781
257	0.5501539412
258	0.5500042584
259	0.5499183083
260	0.5498211305
261	0.5496834252
262	0.5496164145
263	0.5495017935
264	0.5494001974
265	0.5492228795
266	0.5491165149
267	0.5489607197
268	0.5487486732
269	0.5486385738
270	0.5485678444
271	0.5485050291
272	0.5483870382
273	0.5482442993
274	0.548096947
275	0.5479299796
276	0.5477920824
277	0.5477408044
278	0.5476459906
279	0.5474701487
280	0.5474205637
281	0.5472853042
282	0.5471889114
283	0.5471113518
284	0.5469886394
285	0.5468754369
286	0.5466907735
287	0.5466211933
288	0.5465569942
289	0.5463704758
290	0.5462930691
291	0.5461295279
292	0.5460248062
293	0.545913163
294	0.5457881445
295	0.5456958365
296	0.5456410995
297	0.545587571
298	0.545421629
299	0.5452469267
300	0.5451936503
301	0.5450132129
302	0.544940797
303	0.5448222589
304	0.5447707419
305	0.5446489944
306	0.5444803765
307	0.5443449127
308	0.5442530889
309	0.5440947786
310	0.5439785523
311	0.5438956695
312	0.5437223721
313	0.5435971107
314	0.5435261805
315	0.5433875757
316	0.5432894406
317	0.5431850228
318	0.543067586
319	0.5429817334
320	0.542795426
321	0.5426793515
322	0.5425580047
323	0.5424519867
324	0.5423305045
325	0.5421976124
326	0.5420342426
327	0.5418990267
328	0.541792941
329	0.5416799339
330	0.5415318819
331	0.5414338798
332	0.5413110603
333	0.541037196
334	0.540899849
335	0.5408538595
336	0.5406852388
337	0.5404891236
338	0.5403389251
339	0.5401760327
340	0.5399901405
341	0.5398596358
342	0.5397633755
343	0.5396548091
344	0.5395191661
345	0.5394017544
346	0.5393712412
347	0.539183792
348	0.5391433047
349	0.5390519694
350	0.5389240095
351	0.538710349
352	0.5386421525
353	0.5385206891
354	0.5383681182
355	0.5382648441
356	0.5380839175
357	0.5379863669
358	0.5379374305
359	0.5377753324
360	0.5376256387
361	0.5375076137
362	0.5374098722
363	0.5372483796
364	0.5371585701
365	0.5370586067
366	0.5370117354
367	0.5368654586
368	0.5367026918
369	0.5365789064
370	0.5363901246
371	0.5362456456
372	0.5361156438
373	0.5360227015
374	0.5358901849
375	0.5357598049
376	0.5356336832
377	0.5354869435
378	0.5353902213
379	0.5352118215
380	0.5351984837
381	0.5351910572
382	0.5350810283
383	0.5349975836
384	0.5348986713
385	0.5348246253
386	0.5347169578
387	0.534622751
388	0.5344944049
389	0.5344006951
390	0.5342640743
391	0.5341860893
392	0.534048653
393	0.5339058782
394	0.5337941794
395	0.5337150296
396	0.533610346
397	0.5334845395
398	0.533348468
399	0.5332207866
400	0.5331487795
401	0.533038269
402	0.5329806847
403	0.5328466083
404	0.5327111512
405	0.5325698906
406	0.5324049187
407	0.5323975379
408	0.5322699834
409	0.5321516135
410	0.5320200254
411	0.5319072284
412	0.5317383895
413	0.5316387719
414	0.5314876458
415	0.5313539263
416	0.5312461476
417	0.5311543375
418	0.5310136085
419	0.5309371634
420	0.5308658682
421	0.5307467463
422	0.5306361846
423	0.5305215077
424	0.5304436649
425	0.5304082815
426	0.5303106599
427	0.5302068421
428	0.530075363
429	0.5299955202
430	0.529828931
431	0.5296882041
432	0.5295686389
433	0.5294993047
434	0.5294171097
435	0.5293097954
436	0.5291388291
437	0.5290338889
438	0.5289138627
439	0.5287897972
440	0.5286390535
441	0.5285680762
442	0.5284966125
443	0.5283924605
444	0.5282968917
445	0.5281497603
446	0.5280950521
447	0.5280004282
448	0.5277941438
449	0.5276960016
450	0.5276586729
451	0.5275517072
452	0.5274383952
453	0.5273290961
454	0.5272451241
455	0.5271222021
456	0.5270202582
457	0.5269142712
458	0.5268155968
459	0.5267072038
460	0.5265803756
461	0.5264063307
462	0.5262779669
463	0.5261924175
464	0.5260441247
465	0.5260133499
466	0.5258540276
467	0.5257053135
468	0.5256070696
469	0.525510145
470	0.5253862443
471	0.5252845626
472	0.5252242579
473	0.525128352
474	0.5250352049
475	0.5249069308
476	0.524874074
477	0.5247498487
478	0.5246993633
479	0.5246138842
480	0.5244845957
481	0.5243583623
482	0.5243336676
483	0.5242087191
484	0.5241030561
485	0.5240775235
486	0.5239877105
487	0.5238385799
488	0.5237356244
489	0.5236187498
490	0.5234303436
491	0.5233901693
492	0.5233799334
493	0.5232819686
494	0.5231832982
495	0.5230700757
496	0.5229843702
497	0.5229398884
498	0.5228443773
499	0.5227256158
